Raw Emg,Timestamp
-0.02,1.0
-0.01,2.0
-0.03,3.0
-0.03,4.0
-0.02,5.0
-0.02,6.0
-0.02,7.0
-0.02,8.0
-0.02,9.0
-0.02,10.0
-0.03,11.0
-0.03,12.0
-0.03,13.0
-0.03,14.0
-0.02,15.0
-0.02,16.0
-0.01,17.0
-0.01,18.0
-0.01,19.0
-0.01,20.0
-0.01,21.0
-0.02,22.0
-0.02,23.0
-0.03,24.0
-0.02,25.0
-0.01,26.0
-0.01,27.0
-0.01,28.0
-0.01,29.0
-0.01,30.0
-0.02,31.0
-0.02,32.0
-0.02,33.0
-0.02,34.0
-0.02,35.0
-0.02,36.0
-0.02,37.0
-0.02,38.0
-0.01,39.0
-0.02,40.0
-0.02,41.0
-0.02,43.0
-0.02,44.0
-0.03,45.0
-0.02,46.0
-0.03,47.0
-0.03,48.0
-0.02,49.0
-0.02,50.0
-0.03,51.0
-0.03,52.0
-0.01,53.0
-0.01,54.0
-0.02,55.0
-0.02,56.0
-0.01,57.0
-0.02,58.0
-0.02,59.0
-0.01,60.0
-0.02,61.0
-0.03,62.0
-0.02,63.0
-0.01,64.0
-0.01,65.0
-0.02,66.0
-0.03,67.0
-0.02,68.0
-0.01,69.0
-0.02,70.0
-0.02,71.0
-0.02,72.0
-0.02,73.0
-0.03,74.0
-0.02,75.0
-0.02,76.0
-0.01,77.0
-0.02,78.0
-0.01,79.0
-0.02,80.0
-0.02,81.0
-0.02,82.0
-0.02,83.0
-0.03,84.0
-0.02,86.0
-0.03,87.0
-0.02,88.0
-0.02,89.0
-0.02,90.0
-0.02,91.0
-0.02,92.0
-0.02,93.0
-0.02,94.0
-0.02,95.0
-0.02,96.0
-0.01,97.0
-0.01,98.0
-0.02,99.0
-0.02,100.0
-0.02,101.0
-0.01,102.0
-0.02,103.0
-0.02,104.0
-0.03,105.0
-0.03,106.0
-0.02,107.0
-0.02,108.0
-0.01,109.0
-0.02,110.0
-0.03,111.0
-0.02,112.0
-0.01,113.0
-0.01,114.0
-0.02,115.0
-0.02,116.0
-0.02,117.0
-0.02,118.0
-0.02,119.0
-0.03,120.0
-0.02,121.0
-0.02,122.0
-0.01,123.0
-0.02,124.0
-0.02,125.0
-0.02,126.0
-0.02,128.0
-0.02,129.0
-0.02,130.0
-0.02,131.0
-0.03,132.0
-0.03,133.0
-0.02,134.0
-0.02,135.0
-0.03,136.0
-0.01,137.0
-0.01,138.0
-0.01,139.0
-0.02,140.0
-0.02,141.0
-0.01,142.0
-0.02,143.0
-0.03,144.0
-0.02,145.0
-0.02,146.0
-0.02,147.0
-0.02,148.0
-0.01,149.0
-0.02,150.0
-0.02,151.0
-0.02,152.0
-0.03,153.0
-0.02,154.0
-0.02,155.0
-0.02,156.0
-0.01,157.0
-0.0,158.0
-0.01,159.0
-0.02,160.0
-0.0,161.0
-0.01,162.0
-0.02,163.0
-0.02,164.0
-0.02,165.0
-0.03,166.0
-0.02,167.0
-0.03,168.0
-0.01,169.0
-0.02,171.0
-0.02,172.0
-0.03,173.0
-0.02,174.0
-0.01,175.0
-0.02,176.0
-0.02,177.0
-0.03,178.0
-0.03,179.0
-0.01,180.0
-0.01,181.0
-0.01,182.0
-0.02,183.0
-0.02,184.0
-0.01,185.0
-0.02,186.0
-0.02,187.0
-0.02,188.0
-0.02,189.0
-0.02,190.0
-0.02,191.0
-0.03,192.0
-0.03,193.0
-0.03,194.0
-0.02,195.0
-0.02,196.0
-0.02,197.0
-0.01,198.0
-0.01,199.0
-0.02,200.0
-0.01,201.0
-0.01,202.0
-0.02,203.0
-0.02,204.0
-0.03,205.0
-0.02,206.0
-0.02,207.0
-0.02,208.0
-0.02,209.0
-0.02,210.0
-0.02,211.0
-0.03,212.0
-0.02,214.0
-0.02,215.0
-0.02,216.0
-0.02,217.0
-0.01,218.0
-0.02,219.0
-0.01,220.0
-0.01,221.0
-0.02,222.0
-0.01,223.0
