Raw Emg,Timestamp
-0.5,1.0
-0.7,2.0
-0.59,3.0
-0.31,4.0
0.06,5.0
0.6,6.0
0.73,7.0
0.54,8.0
0.46,9.0
0.37,10.0
0.17,11.0
-0.07,12.0
-0.11,13.0
-0.32,14.0
-0.41,15.0
-0.33,16.0
-0.17,17.0
0.04,18.0
-0.0,19.0
-0.0,20.0
-0.03,21.0
-0.37,22.0
-0.41,23.0
-0.04,24.0
0.34,25.0
0.65,26.0
0.59,27.0
0.17,28.0
0.11,29.0
0.05,30.0
-0.06,31.0
-0.12,32.0
-0.17,33.0
-0.14,34.0
-0.3,35.0
-0.22,36.0
0.01,37.0
-0.28,38.0
-0.15,39.0
0.05,40.0
0.17,41.0
0.09,43.0
0.17,44.0
0.33,45.0
0.1,46.0
0.17,47.0
0.07,48.0
-0.01,49.0
-0.06,50.0
-0.05,51.0
-0.06,52.0
-0.1,53.0
-0.1,54.0
-0.15,55.0
-0.08,56.0
0.04,57.0
0.16,58.0
0.23,59.0
0.16,60.0
0.09,61.0
-0.02,62.0
-0.19,63.0
-0.25,64.0
-0.14,65.0
-0.04,66.0
0.01,67.0
-0.04,68.0
0.09,69.0
0.08,70.0
-0.35,71.0
-0.03,72.0
0.16,73.0
0.23,74.0
0.32,75.0
0.32,76.0
0.11,77.0
-0.04,78.0
-0.15,79.0
-0.1,80.0
-0.12,81.0
-0.17,82.0
-0.24,83.0
-0.17,84.0
-0.21,86.0
-0.08,87.0
0.33,88.0
0.41,89.0
0.38,90.0
0.22,91.0
0.03,92.0
0.09,93.0
0.23,94.0
-0.01,95.0
-0.04,96.0
-0.37,97.0
-0.58,98.0
-0.31,99.0
-0.0,100.0
-0.04,101.0
-0.1,102.0
-0.0,103.0
0.27,104.0
0.19,105.0
0.11,106.0
0.1,107.0
0.11,108.0
-0.22,109.0
-0.32,110.0
-0.03,111.0
0.13,112.0
0.18,113.0
-0.15,114.0
-0.03,115.0
-0.18,116.0
-0.21,117.0
0.29,118.0
0.57,119.0
0.45,120.0
0.29,121.0
0.16,122.0
0.03,123.0
-0.03,124.0
-0.07,125.0
-0.15,126.0
-0.15,128.0
-0.28,129.0
-0.33,130.0
-0.28,131.0
-0.24,132.0
-0.12,133.0
0.12,134.0
0.41,135.0
0.26,136.0
0.05,137.0
0.14,138.0
-0.0,139.0
